,lat,lon,activity
89,-43.59027863480151,172.56258317269385,activity_21767060640.gpx
90,-43.59029162675142,172.56261510774493,activity_21767060640.gpx
91,-43.5903047863394,172.56264360621572,activity_21767060640.gpx
92,-43.590305959805846,172.5626679137349,activity_21767060640.gpx
93,-43.59032113105059,172.5627062190324,activity_21767060640.gpx
94,-43.5903341230005,172.5627358071506,activity_21767060640.gpx
95,-43.59033931978047,172.56276321597397,activity_21767060640.gpx
96,-43.590356251224875,172.5627970788628,activity_21767060640.gpx
97,-43.59036471694708,172.56282415241003,activity_21767060640.gpx
98,-43.59037318266928,172.56285851821303,activity_21767060640.gpx
99,-43.59038718044758,172.56289179436862,activity_21767060640.gpx
100,-43.59039061702788,172.56291643716395,activity_21767060640.gpx
101,-43.59040159732103,172.5629559159279,activity_21767060640.gpx
102,-43.59041115269065,172.56298885680735,activity_21767060640.gpx
103,-43.59041609801352,172.56301467306912,activity_21767060640.gpx
104,-43.59043235890567,172.56305473856628,activity_21767060640.gpx
105,-43.59044040553272,172.56308432668447,activity_21767060640.gpx
106,-43.59044652432203,172.56310771219432,activity_21767060640.gpx
107,-43.59046068973839,172.56313771940768,activity_21767060640.gpx
108,-43.59046236611903,172.563159679994,activity_21767060640.gpx
109,-43.59046722762287,172.56318423897028,activity_21767060640.gpx
110,-43.59047845937312,172.56321139633656,activity_21767060640.gpx
111,-43.59048122540116,172.5632297527045,activity_21767060640.gpx
112,-43.59048700891435,172.5632464326918,activity_21767060640.gpx
113,-43.59050201252103,172.5632632803172,activity_21767060640.gpx
114,-43.590516513213515,172.5632818043232,activity_21767060640.gpx
115,-43.59052422456443,172.56329940631986,activity_21767060640.gpx
116,-43.59053721651435,172.56331977434456,activity_21767060640.gpx
117,-43.59054811298847,172.56333796307445,activity_21767060640.gpx
118,-43.59055641107261,172.56336118094623,activity_21767060640.gpx
119,-43.590573677793145,172.5633936189115,activity_21767060640.gpx
120,-43.590581221506,172.5634200219065,activity_21767060640.gpx
121,-43.59057828783989,172.563445167616,activity_21767060640.gpx
122,-43.590573677793145,172.56348062306643,activity_21767060640.gpx
123,-43.590570241212845,172.56350744515657,activity_21767060640.gpx
124,-43.590560015290976,172.56353242322803,activity_21767060640.gpx
125,-43.59054308384657,172.56356762722135,activity_21767060640.gpx
126,-43.590528666973114,172.56358740851283,activity_21767060640.gpx
127,-43.590509220957756,172.56359838880599,activity_21767060640.gpx
128,-43.590486086905,172.56361791864038,activity_21767060640.gpx
129,-43.590471586212516,172.56362713873386,activity_21767060640.gpx
130,-43.590452475473285,172.56363610737026,activity_21767060640.gpx
131,-43.5904276650399,172.56365295499563,activity_21767060640.gpx
132,-43.59040922485292,172.56366385146976,activity_21767060640.gpx
133,-43.590388940647244,172.5636713951826,activity_21767060640.gpx
134,-43.59036471694708,172.5636922661215,activity_21767060640.gpx
135,-43.5903465282172,172.56370584480464,activity_21767060640.gpx
136,-43.59032699838281,172.5637136399746,activity_21767060640.gpx
137,-43.59030285850167,172.56372537463903,activity_21767060640.gpx
138,-43.590280478820205,172.5637416355312,activity_21767060640.gpx
139,-43.59026312828064,172.56374674849212,activity_21767060640.gpx
140,-43.59024150297046,172.56375370547175,activity_21767060640.gpx
141,-43.59021778218448,172.5637760013342,activity_21767060640.gpx
142,-43.590198922902346,172.56378698162735,activity_21767060640.gpx
143,-43.59017847105861,172.5637958664447,activity_21767060640.gpx
144,-43.59015357680619,172.56381682120264,activity_21767060640.gpx
145,-43.59013555571437,172.56382989697158,activity_21767060640.gpx
146,-43.59011770226061,172.56383350118995,activity_21767060640.gpx
147,-43.590092891827226,172.56384464912117,activity_21767060640.gpx
148,-43.59007344581187,172.56387415342033,activity_21767060640.gpx
149,-43.59005710110068,172.56389460526407,activity_21767060640.gpx
150,-43.59004779718816,172.56392821669579,activity_21767060640.gpx
151,-43.59005785547197,172.56396903656423,activity_21767060640.gpx
152,-43.590063052251935,172.56399602629244,activity_21767060640.gpx
153,-43.59007202088833,172.56402586586773,activity_21767060640.gpx
154,-43.59008518047631,172.56405360996723,activity_21767060640.gpx
155,-43.59009515494108,172.56407347507775,activity_21767060640.gpx
156,-43.59010035172105,172.5641000457108,activity_21767060640.gpx
157,-43.590114349499345,172.56413315422833,activity_21767060640.gpx
158,-43.59012683853507,172.56416098214686,activity_21767060640.gpx
